id_execucao,id_cenario,grupo,patologia,n_holders,distribuicao,parametro_dist,n_candidatos,tamanho_comite,turnout,n_aprovacoes,n_blocos,frac_proxy,tam_cartel,orcamento_suborno,frac_exchange,frac_colludida,n_rodadas,vantagem_incumbencia,reinveste_recompensa,metrica,camada,media,ic95,n_runs,seed_base
20260703-002116,3,G11,entrincheiramento,200,pareto,1.16,1000,21,1.0,30,10000,0.0,0,0.0,0.0,0.0,10,0.0,0.0,persistencia,stake,0.501587,0.050576,30,42
20260703-002116,3,G11,entrincheiramento,200,pareto,1.16,1000,21,1.0,30,10000,0.0,0,0.0,0.0,0.0,10,0.0,0.0,persistencia,eleito,0.501587,0.050576,30,42
20260703-002116,3,G11,entrincheiramento,200,pareto,1.16,1000,21,1.0,30,10000,0.0,0,0.0,0.0,0.0,10,0.0,0.0,persistencia,produzido,0.501587,0.050576,30,42
20260703-002116,3,G11,entrincheiramento,200,pareto,1.16,1000,21,1.0,30,10000,0.0,0,0.0,0.0,0.0,10,0.0,0.0,permanencia_media,stake,6.038095,0.465343,30,42
20260703-002116,3,G11,entrincheiramento,200,pareto,1.16,1000,21,1.0,30,10000,0.0,0,0.0,0.0,0.0,10,0.0,0.0,permanencia_media,eleito,6.038095,0.465343,30,42
20260703-002116,3,G11,entrincheiramento,200,pareto,1.16,1000,21,1.0,30,10000,0.0,0,0.0,0.0,0.0,10,0.0,0.0,permanencia_media,produzido,6.038095,0.465343,30,42
20260703-002116,3,G11,entrincheiramento,200,pareto,1.16,1000,21,1.0,30,10000,0.0,0,0.0,0.0,0.0,10,0.0,0.0,diversidade,stake,0.243175,0.027658,30,42
20260703-002116,3,G11,entrincheiramento,200,pareto,1.16,1000,21,1.0,30,10000,0.0,0,0.0,0.0,0.0,10,0.0,0.0,diversidade,eleito,0.243175,0.027658,30,42
20260703-002116,3,G11,entrincheiramento,200,pareto,1.16,1000,21,1.0,30,10000,0.0,0,0.0,0.0,0.0,10,0.0,0.0,diversidade,produzido,0.243175,0.027658,30,42
20260703-002116,4,G11,entrincheiramento,200,pareto,1.16,1000,21,1.0,30,10000,0.0,0,0.0,0.0,0.0,2,0.5,0.0,rotatividade,stake,0.419048,0.091972,30,42
20260703-002116,4,G11,entrincheiramento,200,pareto,1.16,1000,21,1.0,30,10000,0.0,0,0.0,0.0,0.0,2,0.5,0.0,rotatividade,eleito,0.419048,0.091972,30,42
20260703-002116,4,G11,entrincheiramento,200,pareto,1.16,1000,21,1.0,30,10000,0.0,0,0.0,0.0,0.0,2,0.5,0.0,rotatividade,produzido,0.419048,0.091972,30,42
20260703-002116,4,G11,entrincheiramento,200,pareto,1.16,1000,21,1.0,30,10000,0.0,0,0.0,0.0,0.0,2,0.5,0.0,persistencia,stake,0.790476,0.045986,30,42
20260703-002116,4,G11,entrincheiramento,200,pareto,1.16,1000,21,1.0,30,10000,0.0,0,0.0,0.0,0.0,2,0.5,0.0,persistencia,eleito,0.790476,0.045986,30,42
20260703-002116,4,G11,entrincheiramento,200,pareto,1.16,1000,21,1.0,30,10000,0.0,0,0.0,0.0,0.0,2,0.5,0.0,persistencia,produzido,0.790476,0.045986,30,42
20260703-002116,4,G11,entrincheiramento,200,pareto,1.16,1000,21,1.0,30,10000,0.0,0,0.0,0.0,0.0,2,0.5,0.0,permanencia_media,stake,1.790476,0.045986,30,42
20260703-002116,4,G11,entrincheiramento,200,pareto,1.16,1000,21,1.0,30,10000,0.0,0,0.0,0.0,0.0,2,0.5,0.0,permanencia_media,eleito,1.790476,0.045986,30,42
20260703-002116,4,G11,entrincheiramento,200,pareto,1.16,1000,21,1.0,30,10000,0.0,0,0.0,0.0,0.0,2,0.5,0.0,permanencia_media,produzido,1.790476,0.045986,30,42
20260703-002116,4,G11,entrincheiramento,200,pareto,1.16,1000,21,1.0,30,10000,0.0,0,0.0,0.0,0.0,2,0.5,0.0,diversidade,stake,0.604762,0.022993,30,42
20260703-002116,4,G11,entrincheiramento,200,pareto,1.16,1000,21,1.0,30,10000,0.0,0,0.0,0.0,0.0,2,0.5,0.0,diversidade,eleito,0.604762,0.022993,30,42
20260703-002116,4,G11,entrincheiramento,200,pareto,1.16,1000,21,1.0,30,10000,0.0,0,0.0,0.0,0.0,2,0.5,0.0,diversidade,produzido,0.604762,0.022993,30,42
20260703-002116,5,G11,entrincheiramento,200,pareto,1.16,1000,21,1.0,30,10000,0.0,0,0.0,0.0,0.0,5,0.5,0.0,rotatividade,stake,0.388095,0.085937,30,42
20260703-002116,5,G11,entrincheiramento,200,pareto,1.16,1000,21,1.0,30,10000,0.0,0,0.0,0.0,0.0,5,0.5,0.0,rotatividade,eleito,0.388095,0.085937,30,42
20260703-002116,5,G11,entrincheiramento,200,pareto,1.16,1000,21,1.0,30,10000,0.0,0,0.0,0.0,0.0,5,0.5,0.0,rotatividade,produzido,0.388095,0.085937,30,42
20260703-002116,5,G11,entrincheiramento,200,pareto,1.16,1000,21,1.0,30,10000,0.0,0,0.0,0.0,0.0,5,0.5,0.0,persistencia,stake,0.671429,0.055053,30,42
20260703-002116,5,G11,entrincheiramento,200,pareto,1.16,1000,21,1.0,30,10000,0.0,0,0.0,0.0,0.0,5,0.5,0.0,persistencia,eleito,0.671429,0.055053,30,42
20260703-002116,5,G11,entrincheiramento,200,pareto,1.16,1000,21,1.0,30,10000,0.0,0,0.0,0.0,0.0,5,0.5,0.0,persistencia,produzido,0.671429,0.055053,30,42
20260703-002116,5,G11,entrincheiramento,200,pareto,1.16,1000,21,1.0,30,10000,0.0,0,0.0,0.0,0.0,5,0.5,0.0,permanencia_media,stake,3.938095,0.199031,30,42
20260703-002116,5,G11,entrincheiramento,200,pareto,1.16,1000,21,1.0,30,10000,0.0,0,0.0,0.0,0.0,5,0.5,0.0,permanencia_media,eleito,3.938095,0.199031,30,42
20260703-002116,5,G11,entrincheiramento,200,pareto,1.16,1000,21,1.0,30,10000,0.0,0,0.0,0.0,0.0,5,0.5,0.0,permanencia_media,produzido,3.938095,0.199031,30,42
20260703-002116,5,G11,entrincheiramento,200,pareto,1.16,1000,21,1.0,30,10000,0.0,0,0.0,0.0,0.0,5,0.5,0.0,diversidade,stake,0.334921,0.02994,30,42
20260703-002116,5,G11,entrincheiramento,200,pareto,1.16,1000,21,1.0,30,10000,0.0,0,0.0,0.0,0.0,5,0.5,0.0,diversidade,eleito,0.334921,0.02994,30,42
20260703-002116,5,G11,entrincheiramento,200,pareto,1.16,1000,21,1.0,30,10000,0.0,0,0.0,0.0,0.0,5,0.5,0.0,diversidade,produzido,0.334921,0.02994,30,42
20260703-002116,6,G11,entrincheiramento,200,pareto,1.16,1000,21,1.0,30,10000,0.0,0,0.0,0.0,0.0,10,0.5,0.0,rotatividade,stake,0.382716,0.088097,30,42
20260703-002116,6,G11,entrincheiramento,200,pareto,1.16,1000,21,1.0,30,10000,0.0,0,0.0,0.0,0.0,10,0.5,0.0,rotatividade,eleito,0.382716,0.088097,30,42
20260703-002116,6,G11,entrincheiramento,200,pareto,1.16,1000,21,1.0,30,10000,0.0,0,0.0,0.0,0.0,10,0.5,0.0,rotatividade,produzido,0.382716,0.088097,30,42
20260703-002116,6,G11,entrincheiramento,200,pareto,1.16,1000,21,1.0,30,10000,0.0,0,0.0,0.0,0.0,10,0.5,0.0,persistencia,stake,0.615873,0.05677,30,42
20260703-002116,6,G11,entrincheiramento,200,pareto,1.16,1000,21,1.0,30,10000,0.0,0,0.0,0.0,0.0,10,0.5,0.0,persistencia,eleito,0.615873,0.05677,30,42
20260703-002116,6,G11,entrincheiramento,200,pareto,1.16,1000,21,1.0,30,10000,0.0,0,0.0,0.0,0.0,10,0.5,0.0,persistencia,produzido,0.615873,0.05677,30,42
20260703-002116,6,G11,entrincheiramento,200,pareto,1.16,1000,21,1.0,30,10000,0.0,0,0.0,0.0,0.0,10,0.5,0.0,permanencia_media,stake,7.219048,0.51772,30,42
20260703-002116,6,G11,entrincheiramento,200,pareto,1.16,1000,21,1.0,30,10000,0.0,0,0.0,0.0,0.0,10,0.5,0.0,permanencia_media,eleito,7.219048,0.51772,30,42
20260703-002116,6,G11,entrincheiramento,200,pareto,1.16,1000,21,1.0,30,10000,0.0,0,0.0,0.0,0.0,10,0.5,0.0,permanencia_media,produzido,7.219048,0.51772,30,42
20260703-002116,6,G11,entrincheiramento,200,pareto,1.16,1000,21,1.0,30,10000,0.0,0,0.0,0.0,0.0,10,0.5,0.0,diversidade,stake,0.219365,0.029798,30,42
20260703-002116,6,G11,entrincheiramento,200,pareto,1.16,1000,21,1.0,30,10000,0.0,0,0.0,0.0,0.0,10,0.5,0.0,diversidade,eleito,0.219365,0.029798,30,42
20260703-002116,6,G11,entrincheiramento,200,pareto,1.16,1000,21,1.0,30,10000,0.0,0,0.0,0.0,0.0,10,0.5,0.0,diversidade,produzido,0.219365,0.029798,30,42
20260703-002116,7,G11,entrincheiramento,200,pareto,1.16,1000,21,1.0,30,10000,0.0,0,0.0,0.0,0.0,2,1.0,0.0,rotatividade,stake,0.32381,0.090656,30,42
20260703-002116,7,G11,entrincheiramento,200,pareto,1.16,1000,21,1.0,30,10000,0.0,0,0.0,0.0,0.0,2,1.0,0.0,rotatividade,eleito,0.32381,0.090656,30,42
20260703-002116,7,G11,entrincheiramento,200,pareto,1.16,1000,21,1.0,30,10000,0.0,0,0.0,0.0,0.0,2,1.0,0.0,rotatividade,produzido,0.32381,0.090656,30,42
20260703-002116,7,G11,entrincheiramento,200,pareto,1.16,1000,21,1.0,30,10000,0.0,0,0.0,0.0,0.0,2,1.0,0.0,persistencia,stake,0.838095,0.045328,30,42
20260703-002116,7,G11,entrincheiramento,200,pareto,1.16,1000,21,1.0,30,10000,0.0,0,0.0,0.0,0.0,2,1.0,0.0,persistencia,eleito,0.838095,0.045328,30,42
20260703-002116,7,G11,entrincheiramento,200,pareto,1.16,1000,21,1.0,30,10000,0.0,0,0.0,0.0,0.0,2,1.0,0.0,persistencia,produzido,0.838095,0.045328,30,42
20260703-002116,7,G11,entrincheiramento,200,pareto,1.16,1000,21,1.0,30,10000,0.0,0,0.0,0.0,0.0,2,1.0,0.0,permanencia_media,stake,1.838095,0.045328,30,42
20260703-002116,7,G11,entrincheiramento,200,pareto,1.16,1000,21,1.0,30,10000,0.0,0,0.0,0.0,0.0,2,1.0,0.0,permanencia_media,eleito,1.838095,0.045328,30,42
20260703-002116,7,G11,entrincheiramento,200,pareto,1.16,1000,21,1.0,30,10000,0.0,0,0.0,0.0,0.0,2,1.0,0.0,permanencia_media,produzido,1.838095,0.045328,30,42
20260703-002116,7,G11,entrincheiramento,200,pareto,1.16,1000,21,1.0,30,10000,0.0,0,0.0,0.0,0.0,2,1.0,0.0,diversidade,stake,0.580952,0.022664,30,42
20260703-002116,7,G11,entrincheiramento,200,pareto,1.16,1000,21,1.0,30,10000,0.0,0,0.0,0.0,0.0,2,1.0,0.0,diversidade,eleito,0.580952,0.022664,30,42
20260703-002116,7,G11,entrincheiramento,200,pareto,1.16,1000,21,1.0,30,10000,0.0,0,0.0,0.0,0.0,2,1.0,0.0,diversidade,produzido,0.580952,0.022664,30,42
20260703-002116,8,G11,entrincheiramento,200,pareto,1.16,1000,21,1.0,30,10000,0.0,0,0.0,0.0,0.0,5,1.0,0.0,rotatividade,stake,0.286508,0.084478,30,42
20260703-002116,8,G11,entrincheiramento,200,pareto,1.16,1000,21,1.0,30,10000,0.0,0,0.0,0.0,0.0,5,1.0,0.0,rotatividade,eleito,0.286508,0.084478,30,42
20260703-002116,8,G11,entrincheiramento,200,pareto,1.16,1000,21,1.0,30,10000,0.0,0,0.0,0.0,0.0,5,1.0,0.0,rotatividade,produzido,0.286508,0.084478,30,42
20260703-002116,8,G11,entrincheiramento,200,pareto,1.16,1000,21,1.0,30,10000,0.0,0,0.0,0.0,0.0,5,1.0,0.0,persistencia,stake,0.730159,0.058575,30,42
20260703-002116,8,G11,entrincheiramento,200,pareto,1.16,1000,21,1.0,30,10000,0.0,0,0.0,0.0,0.0,5,1.0,0.0,persistencia,eleito,0.730159,0.058575,30,42
20260703-002116,8,G11,entrincheiramento,200,pareto,1.16,1000,21,1.0,30,10000,0.0,0,0.0,0.0,0.0,5,1.0,0.0,persistencia,produzido,0.730159,0.058575,30,42
20260703-002116,8,G11,entrincheiramento,200,pareto,1.16,1000,21,1.0,30,10000,0.0,0,0.0,0.0,0.0,5,1.0,0.0,permanencia_media,stake,4.190476,0.210562,30,42
20260703-002116,8,G11,entrincheiramento,200,pareto,1.16,1000,21,1.0,30,10000,0.0,0,0.0,0.0,0.0,5,1.0,0.0,permanencia_media,eleito,4.190476,0.210562,30,42
20260703-002116,8,G11,entrincheiramento,200,pareto,1.16,1000,21,1.0,30,10000,0.0,0,0.0,0.0,0.0,5,1.0,0.0,permanencia_media,produzido,4.190476,0.210562,30,42
20260703-002116,8,G11,entrincheiramento,200,pareto,1.16,1000,21,1.0,30,10000,0.0,0,0.0,0.0,0.0,5,1.0,0.0,diversidade,stake,0.30381,0.030474,30,42
20260703-002116,8,G11,entrincheiramento,200,pareto,1.16,1000,21,1.0,30,10000,0.0,0,0.0,0.0,0.0,5,1.0,0.0,diversidade,eleito,0.30381,0.030474,30,42
20260703-002116,8,G11,entrincheiramento,200,pareto,1.16,1000,21,1.0,30,10000,0.0,0,0.0,0.0,0.0,5,1.0,0.0,diversidade,produzido,0.30381,0.030474,30,42
20260703-002116,9,G11,entrincheiramento,200,pareto,1.16,1000,21,1.0,30,10000,0.0,0,0.0,0.0,0.0,10,1.0,0.0,rotatividade,stake,0.28254,0.086956,30,42
20260703-002116,9,G11,entrincheiramento,200,pareto,1.16,1000,21,1.0,30,10000,0.0,0,0.0,0.0,0.0,10,1.0,0.0,rotatividade,eleito,0.28254,0.086956,30,42
20260703-002116,9,G11,entrincheiramento,200,pareto,1.16,1000,21,1.0,30,10000,0.0,0,0.0,0.0,0.0,10,1.0,0.0,rotatividade,produzido,0.28254,0.086956,30,42
20260703-002116,9,G11,entrincheiramento,200,pareto,1.16,1000,21,1.0,30,10000,0.0,0,0.0,0.0,0.0,10,1.0,0.0,persistencia,stake,0.67619,0.060932,30,42
20260703-002116,9,G11,entrincheiramento,200,pareto,1.16,1000,21,1.0,30,10000,0.0,0,0.0,0.0,0.0,10,1.0,0.0,persistencia,eleito,0.67619,0.060932,30,42
20260703-002116,9,G11,entrincheiramento,200,pareto,1.16,1000,21,1.0,30,10000,0.0,0,0.0,0.0,0.0,10,1.0,0.0,persistencia,produzido,0.67619,0.060932,30,42
